number_of_angle_pi, number_of_angle_zero,strength_ratio, mass
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
26,36,2.00705,8.06124
