number_of_angle_pi, number_of_angle_zero,strength_ratio, mass
48,97,5.186334893461951,18.85289999999993
54,97,5.246370366587457,19.63301999999994
19,96,4.853070280354408,14.952299999999907
93,43,3.0275515182364523,17.682719999999915
7,75,3.718565523440582,10.661639999999965
7,86,4.254778541191229,12.091859999999945
54,97,5.246370366587457,19.63301999999994
53,97,5.236349468876858,19.50299999999994
68,97,5.387152142913479,21.453299999999967
7,75,3.718565523440582,10.661639999999965
54,97,5.246370366587457,19.63301999999994
7,72,3.5723433178448585,10.27157999999997
7,85,4.206028160189192,11.961839999999947
44,87,4.661136505221851,17.032619999999906
16,72,3.6565381052519172,11.441759999999954
7,47,2.3542679329511413,7.02108
23,97,4.940064409920631,15.602399999999898
53,97,5.236349468876858,19.50299999999994
7,75,3.718565523440582,10.661639999999965
54,97,5.246370366587457,19.63301999999994
43,43,2.51820430695243,11.181719999999958
20,97,4.911273601137175,15.212339999999903
93,75,4.575093274379521,21.843359999999972
7,97,4.791073635347877,13.522079999999926
7,97,4.791073635347877,13.522079999999926
44,97,5.1464475249924035,18.332819999999924
7,72,3.5723433178448585,10.27157999999997
7,75,3.718565523440582,10.661639999999965
48,97,5.186334893461951,18.85289999999993
54,97,5.246370366587457,19.63301999999994
